Nombre_Categoria;URL;Xpath_URL_Noticia
Internacional;https://www.telemundo.com/noticias/noticias-telemundo/estados-unidos/video/el-presidente-anuncia-un-plan-para-ayudar-quienes-deben-retomar-los-pagos-de-sus-creditos-tmvo12336890;
Internacional;https://wapa.tv/noticias/internacionales/francia-refuerza-el-despliegue-policial-para-frenar-estallido-de-violencia/article_34acab36-17a9-11ee-91ac-afb3dc9fc649.html;
Educacion;https://www.univision.com/noticias/politica/corte-suprema-decisiones-legado-de-donald-trump-eeuu-universidades-aborto-deuda-estudiantil;
Noticia;https://www.univision.com/uforia-podcasts-2021/raquenel-mary-boquitas-habla-sobre-su-intento-de-suicidio;
Deporte;https://www.elimparcial.es/noticia/256170/nacional/guardiola-justifica-el-pacto:-mi-palabra-no-es-tan-importante-como-el-futuro-de-los-extremenos.html;
Noticia;https://radioisla.tv/roban-13-gallos-en-villalba/;
Seguridad;http://nuestropuertorico.com/2023/06/30/dos-experimentados-servidores-publicos-son-ascendidos-a-sargentos-en-la-policia-municipal-de-vega-baja/;
Noticia;https://www.elnuevodia.com/noticias/tribunales/notas/juicio-contra-verdejo-coacusado-por-asesinato-de-keishla-rodriguez-confeso-a-su-hermano-que-el-y-felix-habian-matado-a-alguien/;
Entretencion;https://www.primerahora.com/entretenimiento/cine-tv/notas/fallece-a-los-89-anos-el-actor-alan-arkin/;
Deporte;https://www.noticel.com/deportes/20230701/tras-fracaso-en-san-salvador-habra-cambios-en-equipo-nacional-de-beisbol/;/html/body/div[6]/nav/div/div[1]/ul/li[1]/a
Politica;https://www.elvocero.com/gobierno/condicionado-el-acceso-a-66-millones-para-los-municipios/article_41f12ee8-1790-11ee-aceb-a3dd1e749a60.html;/html/body/div[1]/div[2]/div[1]/div[1]/div/div[2]/div[1]/div[1]/a.
Entretencion;https://www.elcalce.com/jarana/2023/06/30/estos-son-los-conciertos-que-quedan-pal-verano/;/html/body/div[1]/div[2]/div[1]/div[1]/div/div[2]/div[1]/div[1]/a
Politica;https://www.elexpresso.com/aprobacion-de-ajustes-de-tarifa-sin-aumento-para-julio-por-el-negociado-de-energia/;/html/body/div[1]/div[2]/div[1]/div[1]/div/div[2]/div[4]
Justicia Social;https://elpostantillano.net/index.php?option=com_content&view=article&id=32609:arrestan-a-persona-que-se-dedica-a-hacer-carjackings&catid=295&Itemid=1004;/html/body/div[1]/div[2]/div[1]/div[1]/div/div[2]/div[4]/a
Mundo;https://www.elnuevoherald.com/noticias/mundo/article276898238.html;/html/body/div[1]/div[2]/div[1]/div[1]/div/div[2]/div[4]/a
Musica;https://eladoquintimes.com/2023/06/27/celebran-el-24to-festival-nacional-afrocaribeno-en-ponce/;/html/body/div[1]/div[2]/div[1]/div[1]/div/div[2]/div[4]/a
Politica;https://laislaoeste.com/asegura-aprobacion-del-presupuesto-garantiza-los-servicios-esenciales/;
Entretencion;https://www.notiuno.com/noticias/entretenimiento/en-pausa-la-gira-mundial-de-la-cantante-madonna-tras-ser-hospitalizada/article_c9ea4ad6-15f2-11ee-875a-bfeffe380999.html;
Cultura;http://www.wrtu.pr/2022/06/02/reconocimiento-recibido-por-la-camara-de-representantes-a-radio-universidad-de-puerto-rico-y-a-nuestra-directora-de-programacion-sara-a-cruz-castro/;
Deporte;https://wipr.pr/yarimar-mercado-gana-su-segunda-medalla-en-san-salvador-2023/;
Tecnologia;https://sincomillas.com/__trashed-15/;
Entretencion;https://www.80grados.net/chile-76/;
Noticias;https://claridadpuertorico.com/recoge-velas-la-junta-de-control-fiscal/;
Gobierno;https://periodicoeloriental.com/1/noticias/ultimas-noticias/gobernador-informa-renuncia-del-secretario-de-educacion-eliezer-ramos-pares/;
Deporte;https://periodicoelsolpr.com/2023/06/30/kristen-romano-tricampeona/;
Entretencion;https://www.periodicolaperla.com/entretenimiento/ozuna-firma-con-sb-projects-para-llevar-su-musica-a-escala-global/;
Mundo;https://www.laiguana.tv/articulos/1150945-venezuela-a-eeuu-por-inhabilitacion-de-maria-corina-rechaza-firmemente-el-nuevo-intento-de-intromision/;
Salud;https://latvcalle.com/2023/06/13/pacientes-oncologicos-amanecieron-en-el-hospital-adolfo-pons-de-maracaibo-para-retirar-medicamentos-de-alto-costo/;
Noticias;https://www.sanjuandailystar.com/post/costco-is-cracking-down-on-membership-sharing;
Educacion;https://periodismoinvestigativo.com/2023/06/aumentos-extraordinarios-de-electricidad-descuadran-la-chequera-de-la-upr-por-casi-10-millones/;
Deporte;https://dialogo.upr.edu/campana-deportiva-para-recaudacion-de-fondos-para-tarzanes-y-juanas/;
