ID_Noticia;ID_SitioWeb;URL;Xpath_Titulo;Xpath_Contenido;Xpath_URL_Fecha
1;1;https://www.telemundo.com/noticias/noticias-telemundo/estados-unidos/video/el-presidente-anuncia-un-plan-para-ayudar-quienes-deben-retomar-los-pagos-de-sus-creditos-tmvo12336890;/html/body/div[1]/div[2]/div[1]/div[2]/div[1]/h1;/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/div/div/div/div/div/p;/html/body/div[1]/div[2]/div[1]/div[2]/div[2]/div/div/div/div/div/span/span
2;2;https://wapa.tv/noticias/internacionales/francia-refuerza-el-despliegue-policial-para-frenar-estallido-de-violencia/article_34acab36-17a9-11ee-91ac-afb3dc9fc649.html;/html/body/div/div[2]/div[6]/section[2]/article/div[2]/header/h1/span;/html/body/div/div[2]/div[6]/section[2]/article/div[3]/div[1]/div/div[4]/div[1]/div[1]/div/div[3]/p[9];/html/body/div/div[2]/div[6]/section[2]/article/div[2]/header/div[2]/span/ul/li[3]/time[1]
3;3;https://www.univision.com/noticias/politica/corte-suprema-decisiones-legado-de-donald-trump-eeuu-universidades-aborto-deuda-estudiantil;/html/body/div[2]/div[1]/div[1]/div[5]/div[2]/div/div/div/div/div[1]/div[1]/div/div/article/div[1]/div[1]/header/h1;/html/body/div[2]/div[1]/div[1]/div[5]/div[2]/div/div/div/div/div[1]/div[1]/div/div/article/div[2]/div[1]/div[1]/div/p/b[2];/html/body/div[2]/div[1]/div[1]/div[5]/div[2]/div/div/div/div/div[1]/div[1]/div/div/article/div[1]/div[2]/div[1]/div/div/span[2]
4;4;https://www.univision.com/uforia-podcasts-2021/raquenel-mary-boquitas-habla-sobre-su-intento-de-suicidio;/html/body/div[2]/div[1]/div[1]/div[5]/div[2]/div/div/div/div/div[1]/div[1]/div/div/article/div[1]/div[1]/header/h1;/html/body/div[2]/div[1]/div[1]/div[5]/div[2]/div/div/div/div/div[1]/div[1]/div/div/article/div[2]/div[1]/div[1]/div/p;/html/body/div[2]/div[1]/div[1]/div[5]/div[2]/div/div/div/div/div[1]/div[1]/div/div/article/div[1]/div[2]/div[1]/div/div/span[2]
5;5;https://www.elimparcial.es/noticia/256170/nacional/guardiola-justifica-el-pacto:-mi-palabra-no-es-tan-importante-como-el-futuro-de-los-extremenos.html;/html/body/div[1]/table/tbody/tr/td[1]/table/tbody/tr[2]/td[1]/div[2]/div[1]/div[2]/h1;"//*[@id=""textoNoticia""]";/html/body/div[1]/table/tbody/tr/td[1]/div[1]/table[6]/tbody/tr/td[2]/div[2]/div/div[2]
6;6;https://radioisla.tv/roban-13-gallos-en-villalba/;/html/body/div[1]/div/div/div[1]/div/div/article/header/div/h1;/html/body/div[1]/div/div/div[1]/div/div/article/div[3]/p[1];/html/body/div[1]/div/div/div[1]/div/div/article/header/div/div/span[2]
7;7;http://nuestropuertorico.com/2023/06/30/dos-experimentados-servidores-publicos-son-ascendidos-a-sargentos-en-la-policia-municipal-de-vega-baja/;/html/body/div[2]/div/div[2]/div[1]/main/article/div[1]/header/div/div/h1;/html/body/div[2]/div/div[2]/div[1]/main/article/div[1]/div[2]/div/p[1];/html/body/div[2]/div/div[2]/div[1]/main/article/div[1]/header/div/div/div[2]/div/span[1]/span[2]
8;8;https://www.elnuevodia.com/noticias/tribunales/notas/juicio-contra-verdejo-coacusado-por-asesinato-de-keishla-rodriguez-confeso-a-su-hermano-que-el-y-felix-habian-matado-a-alguien/;/html/body/div[1]/div[7]/div/div[1]/h1;/html/body/div[1]/div[7]/div/div[3]/div[1]/div[1]/div[2]/p[1];/html/body/div[1]/div[7]/div/div[1]/div[2]/div[1]/p[1]
9;9;https://www.primerahora.com/entretenimiento/cine-tv/notas/fallece-a-los-89-anos-el-actor-alan-arkin/;/html/body/div[2]/div[3]/div[1]/main/div[1]/hgroup/h1;/html/body/div[2]/div[3]/div[1]/main/div[2]/section/p[1];/html/body/div[2]/div[3]/div[1]/main/div[2]/div[4]/time
10;10;https://www.metro.pr/deportes/2023/07/01/atleticos-eliminan-a-los-cangrejeros-y-se-volveran-a-medir-a-los-vaqueros/;/html/body/div[1]/div[2]/section[1]/div[1]/div/div[1]/div/h1;/html/body/div[1]/div[2]/section[1]/div[1]/div/div[2]/article/article/p[1];/html/body/div[1]/div[2]/section[1]/div[1]/div/div[2]/article/div[2]/time
11;11;https://www.noticel.com/deportes/20230701/tras-fracaso-en-san-salvador-habra-cambios-en-equipo-nacional-de-beisbol/;/html/body/div[8]/div/div/div[1]/div/div/article/div/h1;/html/body/div[8]/div/div/div[1]/div/div/article/div/div[4]/div/div[4];/html/body/div[8]/div/div/div[1]/div/div/article/div/div[3]/div/div[1]/div[2]
12;12;https://www.elvocero.com/gobierno/condicionado-el-acceso-a-66-millones-para-los-municipios/article_41f12ee8-1790-11ee-aceb-a3dd1e749a60.html;/html/body/div[3]/div[3]/div[6]/section[2]/article/div[3]/header/h1/span;"//*[@id=""article-body""]";/html/body/div[3]/div[3]/div[6]/section[2]/article/div[3]/header/div[2]/span/ul/li[3]/time[1]
13;13;https://www.elcalce.com/jarana/2023/06/30/estos-son-los-conciertos-que-quedan-pal-verano/;/html/body/div[1]/div[2]/section[1]/div[1]/div/div[1]/div/h1;/html/body/div[1]/div[2]/section[1]/div[1]/div/div[2]/article/article;/html/body/div[1]/div[2]/section[1]/div[1]/div/div[2]/article/div[1]/time
14;14;https://www.elexpresso.com/aprobacion-de-ajustes-de-tarifa-sin-aumento-para-julio-por-el-negociado-de-energia/;/html/body/div/div/div/div/div[1]/article/div[1]/h1;/html/body/div/div/div/div/div[1]/article/div[3]/div;/html/body/div/div/div/div/div[1]/article/div[1]/div/p/span[1]
15;15;https://elpostantillano.net/index.php?option=com_content&view=article&id=32609:arrestan-a-persona-que-se-dedica-a-hacer-carjackings&catid=295&Itemid=1004;/html/body/div[2]/div[2]/div/div/div/div/div/article/header/h1;/html/body/div[2]/div[2]/div/div/div/div/div/article/section[3];/html/body/div[2]/div[2]/div/div/div/div/div/article/aside/dl/dd[3]/time
16;16;https://www.elnuevoherald.com/noticias/mundo/article276898238.html;/html/body/div[5]/article/header/h1;/html/body/div[5]/article;"//*[@id=""publish_date""]"
17;17;https://eladoquintimes.com/2023/06/27/celebran-el-24to-festival-nacional-afrocaribeno-en-ponce/;/html/body/div[3]/div/section[2]/div/div/div[1]/div/div/div[2]/div/h1;/html/body/div[3]/div/section[2]/div/div/div[1]/div/div/div[3]/div/ul/li[2]/a/span[2];/html/body/div[3]/div/section[3]/div[2]/div/div[2]/div/div/div[1]/div
18;18;https://laislaoeste.com/asegura-aprobacion-del-presupuesto-garantiza-los-servicios-esenciales/;/html/body/div[1]/div[2]/header/div[2]/div/h1;/html/body/div[1]/div[2]/div/div[1]/main/article/div;/html/body/div[1]/div[2]/div/div[1]/main/article/footer/span/a/time[1]
19;19;https://www.notiuno.com/noticias/entretenimiento/en-pausa-la-gira-mundial-de-la-cantante-madonna-tras-ser-hospitalizada/article_c9ea4ad6-15f2-11ee-875a-bfeffe380999.html;/html/body/div[5]/div[2]/div[6]/section[2]/article/div[3]/header/h1/span;/html/body/div[5]/div[2]/div[6]/section[2]/article/div[4]/div[1]/div/div[4]/div[1]/div[1]/div;/html/body/div[5]/div[2]/div[6]/section[2]/article/div[3]/header/div[2]/span/ul/li[3]
20;20;http://www.wrtu.pr/2022/06/02/reconocimiento-recibido-por-la-camara-de-representantes-a-radio-universidad-de-puerto-rico-y-a-nuestra-directora-de-programacion-sara-a-cruz-castro/;/html/body/div[1]/div[4]/div/div[1]/h1;/html/body/div[1]/div[5]/div[2]/div/div/article/div[2]/div[1]/div/div/div/div/div;/html/body/div[1]/div[5]/div[2]/div/div/article/div[2]/div[1]/div/div/div/div/div/p[1]
21;21;https://wipr.pr/yarimar-mercado-gana-su-segunda-medalla-en-san-salvador-2023/;/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[1]/header/h1;/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[3];/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[1]/header/div/span/time
22;22;https://sincomillas.com/__trashed-15/;/html/body/div[2]/div[2]/div[1]/main/article/header/div/div/div/div[1]/div/h1;/html/body/div[2]/div[2]/div[1]/main/article/section;/html/body/div[2]/div[2]/div[1]/main/article/header/div/div/div/div[1]/div/ul/li[1]
23;23;https://www.80grados.net/chile-76/;/html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div/div[1]/div/h1;/html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div/div[3]/div[1];/html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div/div[1]/div/div[2]/span[2]
24;24;https://claridadpuertorico.com/recoge-velas-la-junta-de-control-fiscal/;/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[1]/header/h1;/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[2];/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[1]/header/div/span/time
25;25;https://periodicoeloriental.com/1/noticias/ultimas-noticias/gobernador-informa-renuncia-del-secretario-de-educacion-eliezer-ramos-pares/;/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[1]/header/h1;/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[3];/html/body/div[6]/div[2]/div/div[2]/div[1]/div/article/div[1]/header/div/span/time
26;26;https://periodicoelsolpr.com/2023/06/30/kristen-romano-tricampeona/;/html/body/div[1]/div[2]/div/div/main/div/div/section/div/div/div/div/div/div[2]/div/h1;/html/body/div[1]/div[2]/div/div/main/div/div/section/div/div/div/div/div/section/div/div/div[1]/div/div/div[2]/div;/html/body/div[1]/div[2]/div/div/main/div/div/section/div/div/div/div/div/div[3]/div/ul/li[1]/a/span[2]
27;27;https://www.periodicolaperla.com/entretenimiento/ozuna-firma-con-sb-projects-para-llevar-su-musica-a-escala-global/;/html/body/div[2]/div[5]/div[1]/div[1]/div/div/div/div[1]/div/div[1]/div/div[1]/div/div/div/div[3]/h1;/html/body/div[2]/div[5]/div[1]/div[1]/div/div/div/div[1]/div/div[1]/div/div[1]/div/div/div/div[8]/div/div[2];/html/body/div[2]/div[5]/div[1]/div[1]/div/div/div/div[1]/div/div[1]/div/div[1]/div/div/div/div[5]/div/div/div
28;28;https://www.laiguana.tv/articulos/1150945-venezuela-a-eeuu-por-inhabilitacion-de-maria-corina-rechaza-firmemente-el-nuevo-intento-de-intromision/;/html/body/div[7]/div[2]/div/article/div[1]/div/div/header/h1;/html/body/div[7]/div[2]/div/article/div[2]/div[1]/div/div[3];/html/body/div[7]/div[2]/div/article/div[1]/div/div/header/div/span/time
29;29;https://latvcalle.com/2023/06/13/pacientes-oncologicos-amanecieron-en-el-hospital-adolfo-pons-de-maracaibo-para-retirar-medicamentos-de-alto-costo/;/html/body/div[1]/div/section[1]/div[2]/div/div/div[1]/div/h1;/html/body/div[1]/div/section[2]/div/div/div/div[2]/div/div[1];NULL
30;30;https://www.sanjuandailystar.com/post/costco-is-cracking-down-on-membership-sharing;/html/body/div[2]/div/div[3]/div/main/div/div/div/div[2]/div/div/div/section/div[2]/div/div/div/div/div/div/div[4]/div[2]/div/div[2]/div/div[1]/div[1]/article/div/div[1]/div[2]/h1/span/span;/html/body/div[2]/div/div[3]/div/main/div/div/div/div[2]/div/div/div/section/div[2]/div/div/div/div/div/div/div[4]/div[2]/div/div[2]/div/div[1]/div[1]/article/div/div[2]/article/div/div/div/div/div/div;/html/body/div[2]/div/div[3]/div/main/div/div/div/div[2]/div/div/div/section/div[2]/div/div/div/div/div/div/div[4]/div[2]/div/div[2]/div/div[1]/div[1]/article/div/div[1]/div[1]/ul/li[3]/ul/li[1]/span
31;31;https://periodismoinvestigativo.com/2023/06/aumentos-extraordinarios-de-electricidad-descuadran-la-chequera-de-la-upr-por-casi-10-millones/;/html/body/div[2]/div/div[1]/div[1]/div/div/div;/html/body/div[2]/div/div[2]/div/div/div/div[2];/html/body/div[2]/div/div[1]/div[2]/div/div/div[1]/p[2]
32;32;https://dialogo.upr.edu/campana-deportiva-para-recaudacion-de-fondos-para-tarzanes-y-juanas/;/html/body/div[2]/div[2]/div/div/div[3]/h1;/html/body/div[2]/div[3]/div[2]/div/div/article/div[4];/html/body/div[2]/div[3]/div[2]/div/div/article/div[2]/div[1]/a[1]/time
